compañia,pasajeros,duracion,distancia,direccion,hora,dia
2,1,244,0.92265230858854,-171.1028945134554,8,Jueves
2,5,940,1.6908578139254362,146.15780020079845,17,Lunes
1,1,399,1.4776851556579125,23.070638508975982,23,Miercoles
1,1,148,0.4788598494983473,121.50679140747057,19,Domingo
1,1,240,1.1423235207900706,46.66583243338714,13,Sabado
2,1,487,1.7761510917545436,121.57662183977543,12,Martes
2,1,845,5.901972786441574,-154.2086217643189,0,Viernes
2,1,448,1.5077977495799446,-14.969672619742987,0,Sabado
2,2,344,0.9627192087466214,-77.86423803510739,20,Domingo
2,2,285,1.014877692457962,29.224891068386043,18,Miercoles
2,1,291,0.7728018442700229,-43.248621758438475,12,Jueves
1,1,401,0.559077116913646,76.21558705482877,12,Jueves
2,1,275,1.2968384485052171,-134.0539200577465,9,Lunes
1,4,641,6.161623851803808,-152.69612981077228,4,Jueves
2,1,803,3.047566058595194,-130.79501459469066,10,Sabado
2,6,550,3.688741556716512,-155.4262645672907,7,Martes
1,1,928,4.791115790488737,21.32928842814444,12,Domingo
2,1,892,4.989042442662447,12.806003579282214,12,Domingo
2,4,576,2.9333023367394704,-128.85324786859871,8,Lunes
2,1,632,0.41249515641483214,-75.04068384902469,13,Miercoles
2,3,102,0.16544626584552954,35.635908923814355,5,Miercoles
2,1,554,2.236547234373666,37.532432223288744,19,Jueves
2,1,931,8.977536642862109,-110.0083508942123,22,Sabado
1,1,367,0.6382631103154129,128.51227066805876,7,Jueves
1,1,401,1.5341147915929716,-95.59521731010624,8,Lunes
1,2,622,1.9761625603764856,132.6201778332786,18,Lunes
2,1,339,0.9673792547115524,73.82964521435713,8,Martes
1,1,708,2.1645693940139124,151.36418279521655,18,Sabado
1,1,412,1.4276523627435669,-116.4042503561538,19,Sabado
2,1,152,0.940902819702272,30.20483996091085,19,Domingo
2,1,584,0.9185988143140952,97.47861441213878,9,Miercoles
2,2,843,3.4144758521470417,-154.15689723323968,20,Lunes
2,1,448,1.394187073666487,-136.11329518133687,18,Lunes
1,1,762,1.3289485632315234,-144.38253238797915,9,Viernes
1,1,634,0.5620977864686348,-27.725407642599286,9,Viernes
1,1,331,1.2058603352256407,141.99103217950525,2,Sabado
1,1,439,1.81133205143856,-151.61593831146808,18,Sabado
1,1,485,1.7759706924645433,11.138178803807746,12,Miercoles
1,3,342,0.7690353673773346,147.31763080662017,19,Sabado
1,1,545,2.972317145066173,-151.16840201117867,15,Sabado
2,1,513,2.0093194625895068,179.90835032298725,22,Miercoles
1,1,678,2.6285109938348383,-60.32564483476301,23,Lunes
1,1,246,0.8426646009455213,16.47753941767477,18,Martes
2,1,718,3.1753699029927898,-157.43229745944942,22,Viernes
1,1,525,1.8144648322101145,9.577040438455976,20,Jueves
1,1,543,1.9472787664894864,-11.963886496578665,13,Domingo
2,2,287,2.074266810007165,-142.34917327575937,22,Viernes
2,1,336,1.0964566493982535,168.95007487497006,1,Domingo
2,2,708,1.8322582672649053,-12.931647464623053,10,Sabado
2,1,26,0.12003772310197293,-145.0659038766976,13,Martes
2,1,366,0.8949305769405947,39.454434107041614,10,Jueves
2,5,609,2.147092691840351,62.50898171629336,1,Sabado
2,1,596,0.7079390715937529,29.47111764459947,12,Jueves
2,1,779,2.2529230716893034,-130.0913903921968,2,Sabado
2,2,474,1.3297054662954502,-50.54291786171676,17,Viernes
2,1,780,2.1471761674797203,0.08575087372801718,14,Sabado
2,5,591,3.5523446502262,25.52415138934813,18,Jueves
2,1,929,2.4751012727630246,-140.4707046855455,17,Miercoles
1,1,387,2.900936687155002,-98.20206590271505,12,Sabado
2,2,482,0.7268416660738084,-49.66722252879809,1,Miercoles
2,1,369,1.7799069347885512,-162.27447766955328,20,Miercoles
2,2,621,1.9245584150038841,173.96005022697742,15,Sabado
2,1,448,1.2397127077721914,83.23575840748885,22,Martes
2,5,808,1.275297233598112,97.29463378592712,10,Lunes
2,1,872,4.484745563673181,32.66233167117266,22,Jueves
1,2,257,1.3794532048419108,-127.76844187864992,20,Jueves
1,1,677,2.301702209451773,-154.99869737090148,8,Martes
1,1,929,4.119711816491919,-139.97093916192486,18,Domingo
2,1,175,0.0006429269304392188,-89.99999751013418,0,Viernes
